Designator,Mid X,Mid Y,Rotation,Layer
C1,63.3875,-69.83,90.0,top
C10,48.4,-41.0,180.0,top
C11,68.25,-39.0,90.0,top
C12,70.75,-39.75,90.0,top
C13,36.2,-64.6,270.0,top
C14,43.66,-64.6475,90.0,top
C15,41.8,-64.8,90.0,top
C16,37.99,-64.375,270.0,top
C17,42.0,-54.0,0.0,top
C2,59.4075,-71.35,0.0,top
C3,76.75,-103.25,270.0,top
C4,76.5,-97.0,0.0,top
C5,80.5,-103.0,270.0,top
C6,80.5,-94.0,90.0,top
C7,61.2,-53.6,180.0,top
C9,51.68,-54.385,90.0,top
D1,77.4,-23.65,180.0,top
D2,75.0,-110.0,90.0,top
D3,77.4,-29.3,180.0,top
D4,63.15,-77.95,180.0,top
D5,70.35,-77.95,180.0,top
D6,59.55,-101.8,0.0,top
D7,47.1,-101.8,0.0,top
D8,40.0,-78.0,270.0,top
D9,40.0,-96.0,270.0,top
J10,86.4675,-66.9,270.0,top
J13,86.4675,-78.0,270.0,top
J14,55.0,-107.0,0.0,top
J15,42.5,-107.0,0.0,top
J3,86.4675,-55.82,270.0,top
J4,67.65,-107.0,0.0,top
J5,86.4675,-91.8,270.0,top
J8,35.0,-74.5,270.0,top
J9,34.955,-92.5,270.0,top
K1,49.8,-82.05,270.0,top
K2,76.5,-87.75,180.0,top
Q1,57.4625,-78.0,0.0,top
Q2,77.0875,-77.75,0.0,top
R1,61.5,-66.3875,180.0,top
R10,77.75,-109.0,0.0,top
R11,75.0,-47.6,270.0,top
R12,56.0,-69.8,270.0,top
R13,43.27,-78.88,0.0,top
R14,48.4,-42.6,0.0,top
R15,48.4,-39.4,0.0,top
R16,48.4,-37.8,180.0,top
R17,57.0,-75.4,180.0,top
R18,76.65,-75.25,0.0,top
R19,60.4,-97.4,90.0,top
R2,49.5,-50.0,90.0,top
R20,58.8,-97.414812,270.0,top
R21,48.5,-69.75,270.0,top
R22,46.27,-78.88,180.0,top
R23,40.0,-81.325,270.0,top
R24,40.0,-99.325,270.0,top
R25,82.0,-63.8,180.0,top
R3,50.99,-50.0,270.0,top
R4,70.5,-47.5,270.0,top
R5,68.0,-47.5,270.0,top
R6,53.925,-78.9,0.0,top
R7,50.925,-78.9,0.0,top
R8,53.3,-54.4,270.0,top
R9,73.2,-47.6,270.0,top
SW1,68.0,-29.5,0.0,top
SW2,51.3,-60.5,90.0,top
SW3,52.1,-29.5,0.0,top
SW4,42.6,-29.5,0.0,top
U1,67.66,-99.25,180.0,top
U2,60.0,-59.7,90.0,top
U3,52.3,-72.7,90.0,top
U4,44.8,-72.69,90.0,top
U5,42.52,-59.9,0.0,top
U6,60.0,-43.25,270.0,top
U7,53.65,-50.7275,90.0,top
Y1,60.5375,-69.0,0.0,top
