Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,C18pF,C1549
"C10, C11, C13, C14, C17, C7, C9",0603,7,C100nF,C14663
C12,1206,1,C100uF,C15008
"C15, C16",0805,2,C10uF,C15850
"C3, C6",CP_Elec_4x5.4,2,C_330nF,C264238
"C4, C5",1206,2,C100nF,C24497
D1,0805,1,LED_A,C2296
D2,0805,1,LED_PWR,C84256
D3,0805,1,LED_B,C2296
"D4, D5",D_SMA,2,D,C22452
"D6, D8, D9",0805,3,LED_OUT_B,C2296
D7,0805,1,LED_OUT_A,C2296
"H1, H3, H5",MountingHole_3.2mm_M3_DIN965,3,MH,
J1,IDC-Header_2x03_P2.54mm_Vertical,1,AVR-ISP-6,DNP
J10,JST_EH_S3B-EH_1x03_P2.50mm_Horizontal,1,0-5V_ANALOG_IN_A,C157928
J11,PinHeader_1x03_P2.54mm_Vertical,1,PRES_SENS_BOTTOM,DNP
J12,PinHeader_1x03_P2.54mm_Vertical,1,PRES_SENS_TOP,DNP
J13,JST_EH_S3B-EH_1x03_P2.50mm_Horizontal,1,0-5V_ANALOG_IN_B,C157928
J14,TerminalBlock_4Ucon_1x03_P3.50mm_Vertical,1,RELAY_OUT_B,C2997510
J15,TerminalBlock_4Ucon_1x03_P3.50mm_Vertical,1,RELAY_OUT_A,C2997510
J3,JST_EH_S3B-EH_1x03_P2.50mm_Horizontal,1,DS18B20,C157928
J4,TerminalBlock_4Ucon_1x02_P3.50mm_Vertical,1,12-24V,C2997509
J5,JST_EH_S4B-EH_1x04_P2.50mm_Horizontal,1,I2C,C157925
J6,USB_Mini-B_Tensility_54-00023_Vertical,1,USB_B_Mini,C6331167
J8,TerminalBlock_4Ucon_1x03_P3.50mm_Vertical,1,12-24V_IN_A,C2997510
J9,TerminalBlock_4Ucon_1x03_P3.50mm_Vertical,1,12-24V_IN_B,C2997510
"K1, K2",Relay_SPDT_SANYOU_SRD_Series_Form_C,2,SANYOU_SRD_Form_C,C35449
"Q1, Q2",SOT-23,2,MMBT5551L,C2145
R1,0603,1,R1M,C22935
"R10, R11, R15, R19, R20, R23, R24, R9",0603,8,R330,C23138
"R12, R13, R14, R2, R21, R4, R5, R7, R8",0603,9,R10k,C25804
R16,0603,1,R620,C4260
"R17, R18, R3",0603,3,R2.2k,C4190
"R22, R6",0603,2,R470,C23179
R25,0603,1,R4.7k,C23162
SW1,SW_Push_1P1T_NO_CK_KSC7xxJ,1,SET,C318884
SW2,SW_Push_1P1T_NO_CK_KSC7xxJ,1,reset,C318884
SW3,SW_Push_1P1T_NO_CK_KSC7xxJ,1,PLUS,C318884
SW4,SW_Push_1P1T_NO_CK_KSC7xxJ,1,MINUS,C318884
U1,TO-252-2,1,LM78M05_TO252,C58069
U2,TQFP-32_7x7mm_P0.8mm,1,ATmega328P-A,
"U3, U4",DIP-4_W8.89mm_SMDSocket_LongPads,2,EL817,C106900
U5,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,1,CP2102N-Axx-xQFN28,C6568
U6,SOP-20_7.5x12.8mm_P1.27mm,1,TM1637,C2962580
U7,CA56-12SRWA,1,CA56-12SRWA,C38183
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_25MHz,C13738
