Designator,Mid X,Mid Y,Rotation,Layer
BT1,217.65,-78.9,0.0,top
C1,221.5,-102.525,90.0,top
C10,165.6,-56.0,0.0,top
C11,252.0,-93.75,90.0,top
C12,249.5,-93.0,90.0,top
C13,236.75,-45.5,0.0,top
C14,230.5,-45.5,0.0,top
C15,158.6,-75.9,270.0,top
C16,188.25,-75.0,270.0,top
C17,174.25,-72.0,270.0,top
C18,261.275,-89.0,0.0,top
C19,175.0,-55.225,90.0,top
C2,165.6,-59.6,0.0,top
C20,178.3,-75.52,270.0,top
C21,185.8,-75.5,90.0,top
C22,261.3,-85.1,0.0,top
C23,192.75,-58.25,0.0,top
C24,223.5,-103.3,90.0,top
C27,193.0,-69.0,0.0,top
C28,240.25,-64.25,270.0,top
C29,244.25,-83.23,270.0,top
C3,251.7,-103.5,180.0,top
C30,249.75,-83.23,270.0,top
C31,254.5,-72.75,0.0,top
C32,254.75,-74.5,0.0,top
C33,240.5,-77.75,180.0,top
C34,247.75,-61.0,180.0,top
C35,240.5,-75.75,180.0,top
C36,242.5,-65.0,90.0,top
C37,248.4075,-65.595,270.0,top
C38,245.9075,-65.595,270.0,top
C39,240.52,-73.25,180.0,top
C4,245.7,-96.25,180.0,top
C40,240.52,-74.75,180.0,top
C41,252.5,-62.25,90.0,top
C42,250.5,-62.25,90.0,top
C43,251.5,-62.25,90.0,top
C44,240.5,-76.75,180.0,top
C45,239.75,-71.75,180.0,top
C5,249.5,-107.25,0.0,top
C6,251.575,-98.5,0.0,top
C7,229.5,-48.0,90.0,top
C8,189.75,-75.0,270.0,top
C9,165.6,-57.5,0.0,top
D1,186.0,-50.4,270.0,top
D10,259.4375,-49.0,180.0,top
D11,254.5625,-109.5,0.0,top
D12,259.4375,-47.0,180.0,top
D13,175.7,-76.5,0.0,top
D14,186.0,-115.5,180.0,top
D15,191.5,-84.25,180.0,top
D16,190.0,-50.4,270.0,top
D17,192.0,-50.4,270.0,top
D18,230.5,-53.75,180.0,top
D19,230.5,-55.75,180.0,top
D2,254.5625,-111.75,0.0,top
D3,188.0,-50.4,270.0,top
D4,159.25,-84.25,180.0,top
D5,175.25,-84.25,180.0,top
D6,174.25,-115.5,180.0,top
D7,162.5,-115.5,180.0,top
D8,200.5,-115.5,180.0,top
D9,212.5,-115.5,180.0,top
J21,220.3,-46.065,180.0,top
JP1,207.275,-49.7,90.0,top
L1,252.75,-71.0,180.0,top
Q1,152.5,-84.25,180.0,top
Q2,168.6875,-84.21,180.0,top
Q3,184.6875,-84.25,180.0,top
Q4,162.425,-49.1875,270.0,top
Q5,166.0,-49.1875,270.0,top
Q6,233.9375,-65.2,180.0,top
R1,257.9875,-109.5,0.0,top
R10,257.8125,-111.75,0.0,top
R11,188.0,-53.6,270.0,top
R12,215.0,-92.25,0.0,top
R13,205.25,-106.75,180.0,top
R14,162.625,-57.5,0.0,top
R15,162.625,-59.6,0.0,top
R16,162.625,-56.0,0.0,top
R17,149.5,-84.25,270.0,top
R18,165.75,-84.25,270.0,top
R19,164.0625,-84.25,90.0,top
R2,180.0,-84.25,90.0,top
R20,147.75,-84.25,90.0,top
R21,208.25,-92.25,0.0,top
R22,208.425,-106.75,0.0,top
R23,195.0,-114.75,90.0,top
R24,207.25,-114.75,90.0,top
R25,193.5,-46.5,0.0,top
R26,165.75,-52.0,0.0,top
R27,208.0,-46.5,180.0,top
R28,182.05,-74.0,0.0,top
R29,173.0,-78.4,90.0,top
R3,181.75,-84.25,270.0,top
R30,175.9,-74.75,180.0,top
R31,196.75,-107.75,0.0,top
R32,196.75,-106.25,180.0,top
R33,162.5,-53.5,0.0,top
R34,165.75,-53.5,0.0,top
R35,172.325,-46.5,0.0,top
R36,158.6,-72.9,270.0,top
R37,170.4,-68.3,270.0,top
R38,247.0925,-81.675,0.0,top
R39,162.675,-46.5,180.0,top
R4,165.75,-46.5,0.0,top
R40,251.1575,-68.325,270.0,top
R41,249.6575,-68.325,270.0,top
R42,248.1575,-68.325,270.0,top
R43,246.6575,-68.325,270.0,top
R44,239.75,-82.25,0.0,top
R45,239.75,-80.75,0.0,top
R46,244.4075,-69.075,180.0,top
R47,247.75,-62.5,180.0,top
R48,171.5,-78.4,270.0,top
R49,252.0,-65.075,270.0,top
R5,162.5,-52.0,0.0,top
R50,250.5,-65.075,270.0,top
R51,247.1575,-65.075,270.0,top
R52,244.6575,-65.0,270.0,top
R53,239.75,-79.25,180.0,top
R54,239.75,-83.75,180.0,top
R55,182.75,-48.0,180.0,top
R56,182.75,-46.5,0.0,top
R57,167.8,-72.4,0.0,top
R58,167.8,-70.9,180.0,top
R59,226.2,-57.3,180.0,top
R6,215.25,-106.75,0.0,top
R60,231.125,-65.0,90.0,top
R61,218.0,-103.275,270.0,top
R62,219.5,-103.275,90.0,top
R63,190.0,-53.6,270.0,top
R64,192.0,-53.6,270.0,top
R65,235.75,-53.5,0.0,top
R66,235.75,-55.0,0.0,top
R7,212.0,-106.75,180.0,top
R8,172.325,-48.0,180.0,top
R9,186.0,-53.6,270.0,top
SW1,153.25,-52.75,0.0,top
SW3,153.25,-59.75,0.0,top
SW4,153.25,-66.75,0.0,top
SW5,153.25,-73.75,180.0,top
U1,241.785,-101.025,180.0,top
U10,261.0,-95.25,90.0,top
U13,247.0,-75.41,180.0,top
U3,213.75,-99.5,90.0,top
U4,207.0,-99.5,90.0,top
U6,182.325,-64.0,0.0,top
U8,199.6,-50.4,270.0,top
U9,233.55,-49.62,0.0,top
Y2,182.05,-76.5,0.0,top
Y3,247.0,-84.0,180.0,top
